system:index,builtup,canopyMn,canopySD,cluster,cropland,grass,latitude,longitude,wetland,.geo
1758,5,71,28,1,27,14,13.547358052495996,105.41482822458748,0,
1759,1,81,25,1,33,5,13.991754623550447,105.74495909150615,0,
1760,1,79,32,1,29,3,12.950966535368343,105.75115746696666,0,
1761,3,68,41,1,17,3,11.584089999050466,106.3483574678579,0,
1762,0,72,15,1,5,7,14.166656609368724,107.21424357023314,0,
1763,5,70,23,1,27,20,13.66755263751133,106.21873057235759,0,
1764,3,73,16,1,20,11,14.015200652465994,105.4326148672133,0,
1765,1,89,21,1,17,3,14.616443072127899,107.23580313705232,0,
1766,3,80,62,1,18,10,14.346140003136016,102.84250240847429,0,
1767,1,92,29,1,35,11,14.054007872740003,105.65764284588847,0,
1768,1,72,22,1,14,20,13.980705345555764,102.48057118049734,0,
1769,0,71,44,1,22,18,12.254323032532835,103.93718941371806,0,
1770,3,86,37,1,20,1,11.674101190519348,106.09611053607351,0,
1771,1,72,28,1,36,11,13.735734767576082,104.45650547947501,0,
1772,5,90,22,1,21,1,14.325927909243303,107.18702461712392,0,
1773,3,73,13,1,30,3,12.859068881802807,105.77460349588252,0,
1774,0,80,40,1,13,0,12.828346499085884,102.23371414041775,0,
1775,1,62,39,1,18,3,14.469029534003711,104.05522804205306,0,
1776,11,97,26,1,17,1,14.005768341982728,107.59288346249495,0,
1777,1,90,34,1,10,0,14.371472494148216,106.87494988741632,0,
1778,0,79,24,1,20,3,12.096938194754909,106.93531667451002,0,
1779,3,74,35,1,47,7,13.54924451459265,104.95507046216851,0,
1780,10,85,23,1,20,0,12.074839638765543,107.01778201759338,0,
1781,1,69,26,1,32,5,12.437848845078666,103.24863074843056,0,
1782,3,69,33,1,27,11,11.51860281483808,106.17237750369635,0,
1783,3,74,19,1,32,7,13.764301193611116,106.13249230508087,0,
1784,3,86,36,1,21,10,12.346220686098366,102.56680944777405,0,
1785,0,69,29,1,25,7,13.733578810894192,105.70830782791354,0,
1786,0,88,23,1,27,1,11.861669421843725,106.61785205309762,0,
1787,11,63,36,1,22,34,12.279925018130267,103.87466666994244,0,
1788,3,89,58,1,20,7,11.902093609629151,106.10527335197166,0,
1789,10,75,22,1,13,7,12.07618711169172,103.85095114644135,0,
1790,3,81,31,1,15,14,11.633677002733922,106.0139146875754,0,
1791,1,92,23,1,11,3,14.153720869277388,107.00080385872327,0,
1792,0,79,29,1,25,0,11.523992706542803,103.72536666971963,0,
1793,5,83,21,1,25,10,13.052835488587617,107.52766577286694,0,
1794,1,87,22,1,22,21,14.380096320875774,107.19483996009588,0,
1795,3,75,25,1,19,18,12.58148945900955,107.14067154846269,0,
1796,5,61,52,1,18,14,12.354844512825924,103.15915854613097,0,
1797,1,69,30,1,32,21,13.907941807541997,104.2861849016035,0,
1798,3,64,42,1,28,3,14.78541617707098,107.09970837150625,0,
1799,10,77,44,1,42,25,12.314420325040498,105.68890421777628,0,
1800,3,93,56,1,39,30,13.567839640973945,104.14200529850025,0,
1801,0,71,20,1,11,1,11.801841623921295,106.73157876806879,0,
1802,3,80,27,1,25,7,13.437404261719637,104.98471486654488,0,
1803,5,77,38,1,19,25,11.91341238220907,107.03934158441255,0,
1804,1,89,31,1,15,1,14.412435671104115,106.79059808223629,0,
1805,1,87,34,1,15,5,11.971353718034852,105.59700656420954,0,
1806,3,68,14,1,15,21,12.10151960270392,103.77899609218234,0,
1807,14,72,33,1,24,37,13.954025381617383,103.83046955796313,0,
1808,5,92,30,1,38,5,11.909908952601004,105.80397840567365,0,
1809,1,72,21,1,23,5,13.920877547633333,104.59556468545871,0,
1810,3,81,54,1,26,1,12.66368530750658,102.42775024179035,0,
1811,0,69,22,1,25,14,13.444680615521014,106.16914356867348,0,
1812,0,85,63,1,17,10,12.3494546211212,102.24638038592401,0,
1813,10,67,38,1,24,31,12.462103357749921,107.64705187412814,0,
1814,7,60,38,1,15,28,11.839031876683887,107.13339519466122,0,
1815,1,87,24,1,14,5,14.290085129406892,106.86228364191005,0,
1816,5,89,23,1,16,0,14.188485670772854,106.79976089813444,0,
1817,7,85,60,1,18,40,13.759180796491629,103.60463309553224,0,
1818,1,85,29,1,22,1,12.920244152651419,105.45309645569152,0,
1819,3,71,18,1,24,3,13.439560218401526,107.48346866088762,0,
1820,1,88,25,1,27,5,14.316765093345273,107.11345259535348,0,
